env,algo,K,seed,mean_return,timestamp
CartPole-v1,iq_learn,1,0,18.9,2026-05-08T10:49:54.936637
CartPole-v1,iq_learn,1,1,9.5,2026-05-08T10:58:19.569518
Pendulum-v1,iq_learn,1,0,-1438.6712072091154,2026-05-08T11:01:23.550311
CartPole-v1,iq_learn,1,2,284.05,2026-05-08T11:06:58.565561
CartPole-v1,iq_learn,5,0,205.85,2026-05-08T11:14:00.002664
Pendulum-v1,iq_learn,1,1,-1530.280690945958,2026-05-08T11:18:32.600280
CartPole-v1,iq_learn,5,1,303.9,2026-05-08T11:24:29.866084
CartPole-v1,iq_learn,5,2,500.0,2026-05-08T11:34:49.090510
Pendulum-v1,iq_learn,1,2,-1457.8855346359844,2026-05-08T11:39:46.944924
CartPole-v1,iq_learn,20,0,500.0,2026-05-08T11:45:11.927541
CartPole-v1,iq_learn,20,1,500.0,2026-05-08T11:55:03.300903
Pendulum-v1,iq_learn,5,0,-717.653349255622,2026-05-08T12:00:07.112503
CartPole-v1,iq_learn,20,2,500.0,2026-05-08T12:05:03.935714
CartPole-v1,iq_learn,100,0,500.0,2026-05-08T12:15:46.478478
Pendulum-v1,iq_learn,5,1,-1096.8493063389442,2026-05-08T12:21:14.110284
CartPole-v1,iq_learn,100,1,500.0,2026-05-08T12:26:05.920001
CartPole-v1,iq_learn,100,2,500.0,2026-05-08T12:36:39.167581
Pendulum-v1,iq_learn,5,2,-1129.6816633010867,2026-05-08T12:42:33.544860
Pendulum-v1,iq_learn,20,0,-931.8894803261499,2026-05-08T13:03:42.831539
Pendulum-v1,iq_learn,100,0,-839.1706966743193,2026-05-08T13:09:06.533238
Pendulum-v1,iq_learn,20,1,-885.3539986825966,2026-05-08T13:24:44.078973
Pendulum-v1,iq_learn,100,1,-604.3204673811322,2026-05-08T13:36:35.946621
Pendulum-v1,iq_learn,20,2,-549.5436059945617,2026-05-08T13:46:03.286102
Pendulum-v1,iq_learn,100,2,-923.831291961615,2026-05-08T13:57:37.491455
